,index,variable,value
0,China - Hubei,1/22/20,28
1,Spain,1/22/20,0
2,Iran,1/22/20,0
3,Germany,1/22/20,0
4,Italy,1/22/20,0
5,France,1/22/20,0
6,US,1/22/20,0
7,"Korea, South",1/22/20,0
8,Switzerland,1/22/20,0
9,China - Guangdong,1/22/20,0
10,China - Henan,1/22/20,0
11,China - Zhejiang,1/22/20,0
12,China - Hunan,1/22/20,0
13,China - Anhui,1/22/20,0
14,China - Jiangxi,1/22/20,0
15,Belgium,1/22/20,0
16,China - Shandong,1/22/20,0
17,China - Jiangsu,1/22/20,0
18,Canada,1/22/20,0
19,Austria,1/22/20,0
20,China - Chongqing,1/22/20,0
21,China - Sichuan,1/22/20,0
22,China - Heilongjiang,1/22/20,0
23,China - Beijing,1/22/20,0
24,China - Shanghai,1/22/20,0
25,China - Hebei,1/22/20,0
26,Diamond Princess,1/22/20,0
27,China - Fujian,1/22/20,0
28,Malaysia,1/22/20,0
29,Denmark,1/22/20,0
30,China - Shaanxi,1/22/20,0
31,China - Guangxi,1/22/20,0
32,Japan,1/22/20,0
33,Turkey,1/22/20,0
34,Peru,1/22/20,0
35,Thailand,1/22/20,0
36,China - Yunnan,1/22/20,0
37,China - Hainan,1/22/20,0
38,Singapore,1/22/20,0
39,Bahrain,1/22/20,0
40,China - Guizhou,1/22/20,0
41,Chile,1/22/20,0
42,China - Shanxi,1/22/20,0
43,Australia - Victoria,1/22/20,0
44,China - Tianjin,1/22/20,0
45,Israel,1/22/20,0
46,China - Liaoning,1/22/20,0
47,China - Gansu,1/22/20,0
48,Romania,1/22/20,0
49,Iceland,1/22/20,0
50,China - Hubei,1/23/20,28
51,Spain,1/23/20,0
52,Iran,1/23/20,0
53,Germany,1/23/20,0
54,Italy,1/23/20,0
55,France,1/23/20,0
56,US,1/23/20,0
57,"Korea, South",1/23/20,0
58,Switzerland,1/23/20,0
59,China - Guangdong,1/23/20,2
60,China - Henan,1/23/20,0
61,China - Zhejiang,1/23/20,0
62,China - Hunan,1/23/20,0
63,China - Anhui,1/23/20,0
64,China - Jiangxi,1/23/20,0
65,Belgium,1/23/20,0
66,China - Shandong,1/23/20,0
67,China - Jiangsu,1/23/20,0
68,Canada,1/23/20,0
69,Austria,1/23/20,0
70,China - Chongqing,1/23/20,0
71,China - Sichuan,1/23/20,0
72,China - Heilongjiang,1/23/20,0
73,China - Beijing,1/23/20,0
74,China - Shanghai,1/23/20,0
75,China - Hebei,1/23/20,0
76,Diamond Princess,1/23/20,0
77,China - Fujian,1/23/20,0
78,Malaysia,1/23/20,0
79,Denmark,1/23/20,0
80,China - Shaanxi,1/23/20,0
81,China - Guangxi,1/23/20,0
82,Japan,1/23/20,0
83,Turkey,1/23/20,0
84,Peru,1/23/20,0
85,Thailand,1/23/20,0
86,China - Yunnan,1/23/20,0
87,China - Hainan,1/23/20,0
88,Singapore,1/23/20,0
89,Bahrain,1/23/20,0
90,China - Guizhou,1/23/20,0
91,Chile,1/23/20,0
92,China - Shanxi,1/23/20,0
93,Australia - Victoria,1/23/20,0
94,China - Tianjin,1/23/20,0
95,Israel,1/23/20,0
96,China - Liaoning,1/23/20,0
97,China - Gansu,1/23/20,0
98,Romania,1/23/20,0
99,Iceland,1/23/20,0
100,China - Hubei,1/24/20,31
101,Spain,1/24/20,0
102,Iran,1/24/20,0
103,Germany,1/24/20,0
104,Italy,1/24/20,0
105,France,1/24/20,0
106,US,1/24/20,0
107,"Korea, South",1/24/20,0
108,Switzerland,1/24/20,0
109,China - Guangdong,1/24/20,2
110,China - Henan,1/24/20,0
111,China - Zhejiang,1/24/20,1
112,China - Hunan,1/24/20,0
113,China - Anhui,1/24/20,0
114,China - Jiangxi,1/24/20,0
115,Belgium,1/24/20,0
116,China - Shandong,1/24/20,0
117,China - Jiangsu,1/24/20,0
118,Canada,1/24/20,0
119,Austria,1/24/20,0
120,China - Chongqing,1/24/20,0
121,China - Sichuan,1/24/20,0
122,China - Heilongjiang,1/24/20,0
123,China - Beijing,1/24/20,1
124,China - Shanghai,1/24/20,1
125,China - Hebei,1/24/20,0
126,Diamond Princess,1/24/20,0
127,China - Fujian,1/24/20,0
128,Malaysia,1/24/20,0
129,Denmark,1/24/20,0
130,China - Shaanxi,1/24/20,0
131,China - Guangxi,1/24/20,0
132,Japan,1/24/20,0
133,Turkey,1/24/20,0
134,Peru,1/24/20,0
135,Thailand,1/24/20,0
136,China - Yunnan,1/24/20,0
137,China - Hainan,1/24/20,0
138,Singapore,1/24/20,0
139,Bahrain,1/24/20,0
140,China - Guizhou,1/24/20,0
141,Chile,1/24/20,0
142,China - Shanxi,1/24/20,0
143,Australia - Victoria,1/24/20,0
144,China - Tianjin,1/24/20,0
145,Israel,1/24/20,0
146,China - Liaoning,1/24/20,0
147,China - Gansu,1/24/20,0
148,Romania,1/24/20,0
149,Iceland,1/24/20,0
150,China - Hubei,1/25/20,32
151,Spain,1/25/20,0
152,Iran,1/25/20,0
153,Germany,1/25/20,0
154,Italy,1/25/20,0
155,France,1/25/20,0
156,US,1/25/20,0
157,"Korea, South",1/25/20,0
158,Switzerland,1/25/20,0
159,China - Guangdong,1/25/20,2
160,China - Henan,1/25/20,0
161,China - Zhejiang,1/25/20,1
162,China - Hunan,1/25/20,0
163,China - Anhui,1/25/20,0
164,China - Jiangxi,1/25/20,0
165,Belgium,1/25/20,0
166,China - Shandong,1/25/20,0
167,China - Jiangsu,1/25/20,1
168,Canada,1/25/20,0
169,Austria,1/25/20,0
170,China - Chongqing,1/25/20,0
171,China - Sichuan,1/25/20,0
172,China - Heilongjiang,1/25/20,0
173,China - Beijing,1/25/20,2
174,China - Shanghai,1/25/20,1
175,China - Hebei,1/25/20,0
176,Diamond Princess,1/25/20,0
177,China - Fujian,1/25/20,0
178,Malaysia,1/25/20,0
179,Denmark,1/25/20,0
180,China - Shaanxi,1/25/20,0
181,China - Guangxi,1/25/20,0
182,Japan,1/25/20,0
183,Turkey,1/25/20,0
184,Peru,1/25/20,0
185,Thailand,1/25/20,0
186,China - Yunnan,1/25/20,0
187,China - Hainan,1/25/20,0
188,Singapore,1/25/20,0
189,Bahrain,1/25/20,0
190,China - Guizhou,1/25/20,0
191,Chile,1/25/20,0
192,China - Shanxi,1/25/20,0
193,Australia - Victoria,1/25/20,0
194,China - Tianjin,1/25/20,0
195,Israel,1/25/20,0
196,China - Liaoning,1/25/20,0
197,China - Gansu,1/25/20,0
198,Romania,1/25/20,0
199,Iceland,1/25/20,0
200,China - Hubei,1/26/20,42
201,Spain,1/26/20,0
202,Iran,1/26/20,0
203,Germany,1/26/20,0
204,Italy,1/26/20,0
205,France,1/26/20,0
206,US,1/26/20,0
207,"Korea, South",1/26/20,0
208,Switzerland,1/26/20,0
209,China - Guangdong,1/26/20,2
210,China - Henan,1/26/20,0
211,China - Zhejiang,1/26/20,1
212,China - Hunan,1/26/20,0
213,China - Anhui,1/26/20,0
214,China - Jiangxi,1/26/20,0
215,Belgium,1/26/20,0
216,China - Shandong,1/26/20,0
217,China - Jiangsu,1/26/20,1
218,Canada,1/26/20,0
219,Austria,1/26/20,0
220,China - Chongqing,1/26/20,0
221,China - Sichuan,1/26/20,0
222,China - Heilongjiang,1/26/20,0
223,China - Beijing,1/26/20,2
224,China - Shanghai,1/26/20,1
225,China - Hebei,1/26/20,0
226,Diamond Princess,1/26/20,0
227,China - Fujian,1/26/20,0
228,Malaysia,1/26/20,0
229,Denmark,1/26/20,0
230,China - Shaanxi,1/26/20,0
231,China - Guangxi,1/26/20,0
232,Japan,1/26/20,1
233,Turkey,1/26/20,0
234,Peru,1/26/20,0
235,Thailand,1/26/20,2
236,China - Yunnan,1/26/20,0
237,China - Hainan,1/26/20,0
238,Singapore,1/26/20,0
239,Bahrain,1/26/20,0
240,China - Guizhou,1/26/20,0
241,Chile,1/26/20,0
242,China - Shanxi,1/26/20,0
243,Australia - Victoria,1/26/20,0
244,China - Tianjin,1/26/20,0
245,Israel,1/26/20,0
246,China - Liaoning,1/26/20,0
247,China - Gansu,1/26/20,0
248,Romania,1/26/20,0
249,Iceland,1/26/20,0
250,China - Hubei,1/27/20,45
251,Spain,1/27/20,0
252,Iran,1/27/20,0
253,Germany,1/27/20,0
254,Italy,1/27/20,0
255,France,1/27/20,0
256,US,1/27/20,0
257,"Korea, South",1/27/20,0
258,Switzerland,1/27/20,0
259,China - Guangdong,1/27/20,4
260,China - Henan,1/27/20,0
261,China - Zhejiang,1/27/20,1
262,China - Hunan,1/27/20,0
263,China - Anhui,1/27/20,0
264,China - Jiangxi,1/27/20,2
265,Belgium,1/27/20,0
266,China - Shandong,1/27/20,0
267,China - Jiangsu,1/27/20,1
268,Canada,1/27/20,0
269,Austria,1/27/20,0
270,China - Chongqing,1/27/20,0
271,China - Sichuan,1/27/20,0
272,China - Heilongjiang,1/27/20,0
273,China - Beijing,1/27/20,2
274,China - Shanghai,1/27/20,3
275,China - Hebei,1/27/20,0
276,Diamond Princess,1/27/20,0
277,China - Fujian,1/27/20,0
278,Malaysia,1/27/20,0
279,Denmark,1/27/20,0
280,China - Shaanxi,1/27/20,0
281,China - Guangxi,1/27/20,0
282,Japan,1/27/20,1
283,Turkey,1/27/20,0
284,Peru,1/27/20,0
285,Thailand,1/27/20,2
286,China - Yunnan,1/27/20,0
287,China - Hainan,1/27/20,0
288,Singapore,1/27/20,0
289,Bahrain,1/27/20,0
290,China - Guizhou,1/27/20,0
291,Chile,1/27/20,0
292,China - Shanxi,1/27/20,0
293,Australia - Victoria,1/27/20,0
294,China - Tianjin,1/27/20,0
295,Israel,1/27/20,0
296,China - Liaoning,1/27/20,0
297,China - Gansu,1/27/20,0
298,Romania,1/27/20,0
299,Iceland,1/27/20,0
300,China - Hubei,1/28/20,80
301,Spain,1/28/20,0
302,Iran,1/28/20,0
303,Germany,1/28/20,0
304,Italy,1/28/20,0
305,France,1/28/20,0
306,US,1/28/20,0
307,"Korea, South",1/28/20,0
308,Switzerland,1/28/20,0
309,China - Guangdong,1/28/20,4
310,China - Henan,1/28/20,0
311,China - Zhejiang,1/28/20,3
312,China - Hunan,1/28/20,0
313,China - Anhui,1/28/20,0
314,China - Jiangxi,1/28/20,3
315,Belgium,1/28/20,0
316,China - Shandong,1/28/20,0
317,China - Jiangsu,1/28/20,1
318,Canada,1/28/20,0
319,Austria,1/28/20,0
320,China - Chongqing,1/28/20,0
321,China - Sichuan,1/28/20,0
322,China - Heilongjiang,1/28/20,0
323,China - Beijing,1/28/20,4
324,China - Shanghai,1/28/20,4
325,China - Hebei,1/28/20,0
326,Diamond Princess,1/28/20,0
327,China - Fujian,1/28/20,0
328,Malaysia,1/28/20,0
329,Denmark,1/28/20,0
330,China - Shaanxi,1/28/20,0
331,China - Guangxi,1/28/20,2
332,Japan,1/28/20,1
333,Turkey,1/28/20,0
334,Peru,1/28/20,0
335,Thailand,1/28/20,5
336,China - Yunnan,1/28/20,0
337,China - Hainan,1/28/20,0
338,Singapore,1/28/20,0
339,Bahrain,1/28/20,0
340,China - Guizhou,1/28/20,0
341,Chile,1/28/20,0
342,China - Shanxi,1/28/20,0
343,Australia - Victoria,1/28/20,0
344,China - Tianjin,1/28/20,0
345,Israel,1/28/20,0
346,China - Liaoning,1/28/20,0
347,China - Gansu,1/28/20,0
348,Romania,1/28/20,0
349,Iceland,1/28/20,0
350,China - Hubei,1/29/20,88
351,Spain,1/29/20,0
352,Iran,1/29/20,0
353,Germany,1/29/20,0
354,Italy,1/29/20,0
355,France,1/29/20,0
356,US,1/29/20,0
357,"Korea, South",1/29/20,0
358,Switzerland,1/29/20,0
359,China - Guangdong,1/29/20,5
360,China - Henan,1/29/20,1
361,China - Zhejiang,1/29/20,3
362,China - Hunan,1/29/20,0
363,China - Anhui,1/29/20,2
364,China - Jiangxi,1/29/20,3
365,Belgium,1/29/20,0
366,China - Shandong,1/29/20,1
367,China - Jiangsu,1/29/20,1
368,Canada,1/29/20,0
369,Austria,1/29/20,0
370,China - Chongqing,1/29/20,1
371,China - Sichuan,1/29/20,1
372,China - Heilongjiang,1/29/20,0
373,China - Beijing,1/29/20,4
374,China - Shanghai,1/29/20,5
375,China - Hebei,1/29/20,0
376,Diamond Princess,1/29/20,0
377,China - Fujian,1/29/20,0
378,Malaysia,1/29/20,0
379,Denmark,1/29/20,0
380,China - Shaanxi,1/29/20,0
381,China - Guangxi,1/29/20,2
382,Japan,1/29/20,1
383,Turkey,1/29/20,0
